===========RESULTADOS============
SESION: Thu Sep 15 11:27:15 2016
=================================
u1, v1, u2, v2, x, y, z, obj
225.807, 176.334, 200.163, 88.1144, 114.945, 13.99, 126.996, 0.517688
223.846, 197.171, 198.105, 112.742, 59.6099, 13.2876, 124.567, 0.515557
228.013, 175.091, 202.377, 90.0249, 82.1065, -7.33195, 120.205, 0.514598
224.109, 186.355, 198.409, 101.273, 73.9969, 5.22428, 125.49, 0.51458
236.525, 173.959, 210.951, 87.0648, 104.383, 3.33915, 109.694, 0.507691
223.126, 194.761, 197.389, 110.026, 64.43, 12.4538, 126.13, 0.499699
243.991, 169.577, 218.484, 82.82, 107.229, -2.16517, 98.6231, 0.499273
250.806, 169.863, 225.348, 82.7975, 111.591, 0.246848, 88.8453, 0.499201
233.903, 175.272, 208.303, 87.1508, 116.108, 12.4143, 115.001, 0.497332
228.022, 197.669, 202.32, 112.267, 70.7785, 19.9883, 119.322, 0.494905
241.917, 181.508, 216.393, 97.0539, 73.67, -3.79528, 97.9772, 0.489182
236.977, 176.201, 211.409, 90.5742, 89.1923, -2.28908, 107.296, 0.488002
250.819, 170.584, 225.359, 83.483, 111.488, 1.25868, 88.8331, 0.487741
292.068, 168.54, 267.099, 82.2115, 111.999, -5.22338, 25.6481, 0.486511
251.104, 211.447, 225.675, 129.736, 25.7837, 13.9046, 78.356, 0.484958
223.615, 180.212, 197.932, 94.7225, 82.4948, 0.974696, 127.033, 0.48471
231.685, 192.188, 206.032, 107.576, 66.4379, 9.02338, 113.146, 0.483033
248.588, 167.341, 223.102, 79.477, 121.451, 2.58064, 93.4114, 0.480311
227.723, 175.587, 202.092, 86.7667, 122.137, 16.9518, 124.883, 0.474993
175.157, 212.57, 148.883, 131.138, 5.81279, 10.6183, 195.805, 0.9885
210.112, 213.563, 184.131, 132.765, 5.29898, 9.14451, 141.017, 0.987666
167.721, 204.451, 141.496, 122.176, 19.2892, 6.26534, 208.082, 0.987585
197.572, 203.513, 171.508, 122.411, 12.5539, -1.2856, 161.327, 0.982402
178.951, 211.723, 152.714, 130.168, 8.56968, 10.5387, 190.062, 0.966187
208.491, 215.852, 182.476, 135.367, -0.102112, 9.84338, 143.124, 0.922208
182.63, 194.798, 156.555, 112.147, 33.042, -1.89952, 185.96, 0.895168
189.202, 204.413, 163.123, 121.682, 28.8907, 9.82159, 175.457, 0.870002
188.054, 200.877, 162.005, 117.639, 36.7204, 8.92283, 177.753, 0.858208
171.422, 203.658, 145.177, 122.155, 11.7127, 0.572909, 202.058, 0.826025
191.052, 202.072, 164.943, 120.825, 13.8271, -2.25806, 171.632, 0.812583
200.224, 187.641, 174.346, 103.225, 61.1779, 1.81193, 160.879, 0.800364
175.576, 206.777, 149.351, 125.062, 12.939, 5.67201, 195.61, 0.79126
165.512, 208.387, 139.245, 126.262, 14.4819, 9.75319, 211.2, 0.781931
169.578, 211.062, 143.294, 129.321, 9.17351, 10.5894, 204.643, 0.763755
168.32, 212.353, 141.978, 131.381, -0.800493, 7.21248, 206.147, 0.737034
170.747, 204.288, 144.511, 122.495, 14.4996, 3.12947, 203.213, 0.729274
166.896, 211.258, 140.542, 130.446, -2.24227, 4.86359, 208.333, 0.728335
183.715, 203.853, 157.549, 122.364, 13.9412, 1.12056, 183.065, 0.720122
160.897, 203.595, 134.679, 120.84, 23.9405, 8.0834, 218.753, 0.692371
192.577, 195.184, 166.508, 114.041, 17.4313, -10.939, 169.546, 0.676925
183.466, 207.791, 157.272, 126.461, 9.4881, 4.69521, 183.143, 0.676136
181.233, 202.286, 155.094, 120.007, 23.5324, 4.25835, 187.477, 0.67412
172.148, 208.546, 145.859, 127.46, 3.81495, 3.6233, 200.471, 0.65699
186.377, 193.276, 160.357, 109.987, 42.0498, 0.574538, 180.743, 0.617518
191.153, 209.563, 165.019, 128.056, 11.9841, 8.16687, 171.288, 0.613495
191.912, 209.579, 165.789, 127.928, 13.7879, 9.12205, 170.223, 0.611573
158.8, 203.837, 132.58, 120.977, 24.5382, 8.94431, 221.974, 0.610662
198.268, 198.099, 172.261, 116.092, 26.6306, -1.76725, 161.29, 0.592345
174.597, 202.878, 148.384, 121.222, 14.641, 0.751745, 197.285, 0.592338
197.358, 194.632, 171.376, 112.095, 34.7896, -2.38229, 163.312, 0.570219
167.965, 209.178, 141.703, 127.095, 13.9991, 10.4966, 207.379, 0.562018
197.849, 198.639, 171.856, 115.991, 33.4999, 2.94245, 162.44, 0.559114
163.248, 202.608, 137.059, 119.62, 27.7146, 8.49969, 215.313, 0.55348
192.866, 196.035, 166.884, 112.365, 45.7618, 6.3002, 170.996, 0.550679
199.15, 246.118, 172.997, 162.336, 16.1181, 64.684, 158.958, 0.974687
221.287, 216.616, 195.436, 135.174, 13.1753, 17.2365, 124.143, 0.973323
222.61, 217.072, 196.778, 134.948, 20.9185, 22.0328, 122.836, 0.972984
217.324, 215.221, 191.438, 133.116, 20.7359, 19.528, 131.079, 0.972688
193.339, 240.735, 167.147, 157.374, 13.5315, 55.7602, 167.749, 0.958155
199.326, 211.208, 173.277, 129.052, 20.0565, 14.4568, 159.105, 0.951623
193.947, 245.833, 167.752, 162.017, 15.4737, 64.2727, 166.911, 0.945245
211.434, 246.044, 185.383, 163.241, 8.22263, 59.7258, 139.318, 0.930524
218.602, 213.132, 192.742, 130.588, 27.2723, 19.8262, 129.683, 0.924371
225.858, 214.918, 200.07, 133.156, 18.854, 17.3849, 117.498, 0.900887
201.484, 245.758, 175.34, 162.479, 11.3519, 61.5583, 155, 0.874934
212.531, 208.419, 186.608, 126.867, 17.7215, 7.88996, 138.275, 0.834008
192.376, 250.557, 166.155, 166.523, 14.5571, 70.8792, 169.224, 0.827149
190.128, 243.443, 163.947, 158.719, 25.9733, 66.3829, 173.473, 0.780843
208.593, 245.074, 182.513, 162.326, 7.55648, 58.1261, 143.676, 0.776258
226.55, 216.921, 200.767, 134.825, 21.5431, 21.8415, 116.716, 0.75914
201.636, 246.798, 175.481, 163.886, 6.71693, 60.726, 154.406, 0.752433
191.192, 253.752, 164.942, 169.848, 10.8968, 73.812, 170.769, 0.745599
197.087, 216.861, 170.976, 135.276, 9.46739, 17.45, 161.796, 0.745174
184.836, 233.199, 158.601, 150.15, 12.919, 44.7984, 180.883, 0.734374
170.399, 254.736, 143.995, 170.865, 5.09364, 73.6457, 202.248, 0.728506
208.474, 214.728, 182.465, 134.119, 2.03926, 9.28308, 143.329, 0.714406
212.929, 203.738, 187.028, 122.168, 20.9801, 2.50219, 137.917, 0.685544
220.076, 217.711, 194.209, 135.921, 16.2043, 20.6412, 126.355, 0.680324
207.322, 204.979, 181.363, 123.199, 21.4407, 5.10678, 146.745, 0.670991
213.014, 203.436, 187.111, 122.115, 18.3283, 0.556528, 137.545, 0.665971
203.725, 214.07, 177.687, 132.577, 11.5989, 13.8492, 151.581, 0.654086
221.943, 205.573, 196.13, 124.771, 12.8392, 0.0687854, 122.956, 0.651938
210.81, 215.884, 184.831, 134.877, 6.4025, 13.2469, 140.02, 0.651136
193.119, 263.191, 166.707, 183.389, -40.0658, 62.3789, 164.277, 0.650571
205.812, 205.108, 179.85, 122.78, 27.2862, 8.66425, 149.583, 0.629679
212.691, 215.269, 186.749, 133.509, 15.794, 17.2677, 137.886, 0.628436
147.179, 169.67, 120.588, 94.0853, -42.2687, -81.543, 239.759, 0.246193
149.246, 170.289, 122.679, 94.5249, -39.9979, -79.4026, 236.445, 0.12612
149.166, 170.366, 122.598, 94.6063, -40.1261, -79.3467, 236.568, 0.122641
149.429, 169.482, 122.845, 94.0161, -43.2408, -82.6339, 236.115, 0.0689948
149.365, 169.246, 122.786, 93.7325, -42.4863, -82.5662, 236.242, 0.0665245
149.419, 170.268, 122.835, 94.7455, -43.0426, -81.2432, 236.104, 0.0583285
149.426, 170.132, 122.844, 94.5963, -42.7849, -81.3131, 236.104, 0.0565641
147.219, 169.695, 120.611, 94.3154, -44.9178, -83.0662, 239.647, 0.0538299
149.233, 170.387, 122.661, 94.6707, -40.6836, -79.647, 236.449, 0.0154124
149.49, 169.556, 122.907, 94.0814, -43.163, -82.4735, 236.014, 0.00721238
149.245, 170.263, 122.678, 94.4964, -39.9483, -79.4153, 236.448, 0.00677445
149.363, 170.187, 122.784, 94.6066, -42.2618, -80.9106, 236.213, 0.00590411
149.422, 170.194, 122.838, 94.6742, -43.0358, -81.3604, 236.103, 0.00555562
149.429, 170.182, 122.847, 94.6425, -42.7697, -81.2235, 236.097, 0.00527388
149.429, 170.182, 122.847, 94.6425, -42.7697, -81.2235, 236.097, 0.00527388
149.351, 170.31, 122.767, 94.7806, -42.9972, -81.1423, 236.214, 0.000806613
149.095, 170.403, 122.526, 94.6513, -40.2625, -79.3598, 236.678, 0.000330937
149.167, 170.392, 122.598, 94.6348, -40.1757, -79.3341, 236.565, 0.000315022
149.361, 169.196, 122.783, 93.6863, -42.5015, -82.6558, 236.249, 0.000211695
149.429, 170.182, 122.847, 94.6425, -42.7697, -81.2235, 236.097, 0.000131991
149.376, 169.173, 122.799, 93.6438, -42.2332, -82.5363, 236.232, 6.68512e-05
149.497, 169.545, 122.914, 94.0708, -43.1608, -82.4909, 236.003, 1.9373e-05
149.426, 169.557, 122.842, 94.0874, -43.2476, -82.5166, 236.116, 1.2043e-05
149.415, 170.205, 122.83, 94.6849, -43.038, -81.343, 236.114, 2.72944e-06
126.17, 221.237, 98.7054, 149.523, -130.459, -45.3281, 271.102, -3.04129e-08
126.102, 221.167, 98.6313, 149.518, -131.287, -45.8789, 271.22, -3.56049e-08
125.875, 221.875, 98.4069, 150.123, -130.412, -44.2381, 271.556, -8.16946e-08
126.757, 221.763, 99.293, 150.072, -130.941, -44.7723, 270.101, -1.04465e-07
125.777, 221.955, 98.2951, 150.324, -132.078, -44.9862, 271.72, -3.2289e-07
182.007, 173.762, 155.691, 98.5868, -43.5488, -78.9682, 182.985, -3.27713e-07
161.74, 285.229, 135.288, 198.401, 15.4545, 123.261, 215.005, 0.972245
196.61, 295.717, 170.316, 208.781, 18.8095, 137.967, 162.802, 0.963706
